web_scraper_order,web_scraper_start_url,pagination,title,data,data2,data3,data4
"1776950156-227","https://almokhtabar.com/en/testspackages/","","Lipid Profile(Chol,Tri,HDL,LDL)","EGP 860","lipid group we do in the periodic examination of diabetics","860","Add to Cart"
"1776950156-228","https://almokhtabar.com/en/testspackages/","","Protein / creatinine ratio","EGP 395","ratio of protein to creatinine is carried out by diabetics and kidney patients","395","Add to Cart"
"1776950156-229","https://almokhtabar.com/en/testspackages/","","Tuberculin","EGP 430","an analysis to diagnose tuberculosis and is also used to ensure that the vaccination is taken and the dose is effective for children","430","Add to Cart"
"1776950156-230","https://almokhtabar.com/en/testspackages/","","HCV RNA Quantitative by PCR (TaqMan)","EGP 2695","quantitative analysis of C virus is used to confirm infection and follow-up treatment","2695","Add to Cart"
"1776950156-231","https://almokhtabar.com/en/testspackages/","","HBV DNA Quantitative by (TaqMan)","EGP 2975","quantitative analysis of B virus is used to confirm infection and follow-up treatment","2975","Add to Cart"
"1776950156-232","https://almokhtabar.com/en/testspackages/","","Quantiferon T.B. -gold (IGRA)","EGP 3425","Contiferon is a diagnostic test for tuberculosis","3425","Add to Cart"
"1776950156-233","https://almokhtabar.com/en/testspackages/","","Varicella Zoster Virus (VZV)  IgM","EGP 920","immune virus","920","Add to Cart"
"1776950156-234","https://almokhtabar.com/en/testspackages/","","Anti -beta 2-Glycoprotein  (IgM)","EGP 1170","analysis used in the case of thrombosis or recurrent miscarriage","1170","Add to Cart"
"1776950156-235","https://almokhtabar.com/en/testspackages/","","Glucose 1Hour after 50 gm glucose","EGP 175","Glucose assay after an hour of taking the required dose, used in cases of pregnancy or checking the level of sugar after a certain dose","175","Add to Cart"
"1776950156-236","https://almokhtabar.com/en/testspackages/","","Abdomen and Pelvis","EGP 910","X-rays on the abdomen and pelvis","910","Add to Cart"
"1776950156-237","https://almokhtabar.com/en/testspackages/","","Antihuman Tissue Transglutaminase (Anti TTG) Screen IgG","EGP 1055","immunological analysis used in the diagnosis of allergy in children","1055","Add to Cart"
"1776950156-238","https://almokhtabar.com/en/testspackages/","","Tramadol qualitative","EGP 485","screening of tramadol, pre-employement","485","Add to Cart"
"1776950156-239","https://almokhtabar.com/en/testspackages/","","Urea breath test","EGP 2065","analysis for the diagnosis of infection and follow-up treatment with H. pylori","2065","Add to Cart"
"1776950156-240","https://almokhtabar.com/en/testspackages/","","DNA by sequencer","EGP 7800","proof of paternity","7800","Add to Cart"
"1776950156-241","https://almokhtabar.com/en/testspackages/","","M2-PK Quick (Schebo test)","EGP 3060","diagnosis of colon tumors","3060","Add to Cart"
"1776950156-242","https://almokhtabar.com/en/testspackages/","","ANA by IF","EGP 510","diagnosis of some immune diseases","510","Add to Cart"
"1776950156-243","https://almokhtabar.com/en/testspackages/","","Anti SSA (Ro60) (Qualitative)","EGP 1400","immunohistochemical analysis is also used in the diagnosis of lupus","1400","Add to Cart"
"1776950156-244","https://almokhtabar.com/en/testspackages/","","Free Testosterone  in  serum","EGP 685","male hormone","685","Add to Cart"
"1776950156-245","https://almokhtabar.com/en/testspackages/","","Her-2-neu by SISH","EGP 6765","an analysis used to determine the treatment plan in breast cancer","6765","Add to Cart"
"1776950156-246","https://almokhtabar.com/en/testspackages/","","CASA","EGP 1155","computerized semen analysis is used to diagnose male infertility and delayed childbearing","1155","Add to Cart"
"1776950156-247","https://almokhtabar.com/en/testspackages/","","Lupus Anticoagulant Detection","EGP 1075","an immunological analysis used to diagnose lupus and in cases of stroke and recurrent miscarriage","1075","Add to Cart"
"1776950156-248","https://almokhtabar.com/en/testspackages/","","Anti-thrombin III (AT-III)","EGP 735","an analysis to follow up the liquidity is done in the case of recurrent miscarriage and recurrent clots","735","Add to Cart"
"1776950156-249","https://almokhtabar.com/en/testspackages/","","Helicobacter pylori line IgG","EGP 1795","analysis to diagnose H. pylori and determine the ferocity of the microbe and treatment protocol","1795","Add to Cart"
"1776950156-250","https://almokhtabar.com/en/testspackages/","","Cortisol (Random ) in serum","EGP 515","diagnosis of adrenal gland disorders - overweight","515","Add to Cart"
"1776950156-251","https://almokhtabar.com/en/testspackages/","","IgE Specific ( Inhalant allergens )","EGP 1925","diagnosis of respiratory allergy","1925","Add to Cart"
